Title,Genre,Duration,Rating,Voting
The Wasp,Thriller,1h 36m,6.1,4.1K
Trigger Warning,Thriller,1h 46m,4.6,19K
Under Paris,Thriller,1h 44m,5.2,36K
Outbreak,Thriller,1h 28m,4.5,791
Afraid,Thriller,1h 24m,5.2,13K
Inside,Thriller,1h 44m,7,207
Mørkeland,Thriller,1h 39m,6.2,863
The Inheritance,Thriller,1h 25m,4.7,2.8K
The Luckiest Man in America,Thriller,1h 30m,6.9,77
The Mouse Trap,Thriller,1h 20m,2.5,3K
No Way Up,Thriller,1h 30m,4.6,10K
Boneyard,Thriller,1h 36m,4.1,4.8K
Bad Genius,Thriller,1h 36m,6.2,2.1K
Lembayung,Thriller,2h 3m,6.1,648
The Platform 2,Thriller,1h 39m,4.9,39K
The Painter,Thriller,1h 40m,4.7,2.2K
Humane,Thriller,1h 33m,5.5,7K
Love Me Dead,Thriller,1h 27m,6.5,31
The Devil's Bath,Thriller,2h 1m,6.6,5.7K
Something in the Water,Thriller,1h 26m,4.1,4.5K
Death Whisperer 2,Thriller,1h 50m,6.4,1.2K
Sting,Thriller,1h 31m,5.7,16K
Armor,Thriller,1h 29m,3.5,3.6K
Night Call,Thriller,1h 37m,6.8,1.7K
Succubus,Thriller,1h 43m,4.6,1.1K
Night Swim,Thriller,1h 38m,4.7,27K
Breathe,Thriller,1h 33m,4.2,7K
Red Right Hand,Thriller,1h 51m,5.5,5.7K
Damaged,Thriller,1h 37m,4.7,7.1K
V/H/S/Beyond,Thriller,1h 54m,5.9,9.1K
Waves,Thriller,2h 11m,8.2,1.4K
Kishkindha Kaandam,Thriller,2h 13m,8,11K
Imaginary,Thriller,1h 44m,4.7,17K
The Exorcism,Thriller,1h 35m,4.2,11K
Levels,Thriller,1h 33m,5,1.4K
The Girl in the Pool,Thriller,1h 29m,4.3,1.4K
Force of Nature: The Dry 2,Thriller,2h,5.9,6.6K
River of Blood,Thriller,1h 26m,5.4,1.5K
Blood Star,Thriller,1h 37m,6.6,2K
A Sacrifice,Thriller,1h 34m,5.1,5K
Santosh,Thriller,2h 8m,7,1.4K
Rich Flu,Thriller,1h 56m,7.7,3.8K
Hold Your Breath,Thriller,1h 34m,5.3,8.3K
The Soul Eater,Thriller,1h 48m,5.9,2.4K
Mea Culpa,Thriller,2h,4.2,6.9K
The Sand Castle,Thriller,1h 38m,4.7,1.6K
Sector 36,Thriller,2h 3m,7.1,25K
Outside,Thriller,2h 22m,5.1,4.4K
Take Cover,Thriller,1h 30m,5.1,2.3K
Harbin,Thriller,1h 48m,6.6,464
Dead Sea,Thriller,1h 28m,5.3,5.2K
Bedspacer,Thriller,1h 30m,4.4,330
Unspeakable: Beyond the Wall of Sleep,Thriller,1h 30m,6.3,35
