Title,Genre,Duration,Rating,Voting
Darkness of Man,Action,1h 49m,4.8,3.1K
Cells at Work!,Action,1h 49m,6.8,155
Officer Black Belt,Action,1h 48m,6.8,7.9K
The Prosecutor,Action,1h 57m,6.8,1.3K
Duchess,Action,1h 54m,4.6,1.2K
Justice League: Crisis on Infinite Earths - Part Three,Action,1h 34m,6.1,4.3K
The Price of Money: A Largo Winch Adventure,Action,1h 40m,5.1,1K
The Wages of Fear,Action,1h 44m,4.6,4K
Bougainvillea,Action,2h 18m,6.4,3K
The Quiet Ones,Action,1h 50m,6.5,501
Pani,Action,2h 23m,6.9,2.7K
The Tiger's Apprentice,Action,1h 24m,5.8,2.1K
Arena Wars,Action,1h 36m,5,2K
Devara Part 1,Action,2h 56m,6,20K
Karma,Action,2h 47m,8.1,1.4K
City Hunter,Action,1h 42m,6.3,5.5K
"I, the Executioner",Action,1h 58m,6.3,1.5K
One Fast Move,Action,1h 48m,5,2.2K
One More Shot,Action,1h 43m,5.4,3.5K
Golden Kamuy,Action,2h 7m,6.3,2.5K
Utopia,Action,1h 31m,3.7,332
Cloud,Action,2h 3m,6.3,882
Fight Another Day,Action,1h 37m,5.1,320
Article 370,Action,2h 38m,7.8,24K
Air Force One Down,Action,1h 24m,4.4,2.8K
Lights Out,Action,1h 30m,4.9,1.7K
Ultraman: Rising,Action,1h 57m,6.9,6.2K
200% Wolf,Action,1h 38m,6,1.2K
Fighter,Action,2h 46m,6.2,52K
Life After Fighting,Action,2h 6m,6.4,1.9K
Continental Split,Action,1h 28m,3.5,531
Die Hart 2: Die Harter,Action,1h 32m,4.3,5.4K
The Family Star,Action,2h 39m,5.4,5.4K
Zero,Action,1h 28m,6.1,37
Angels Fallen: Warriors of Peace,Action,1h 43m,4.9,5.8K
Latency,Action,1h 34m,4.2,1.7K
Kill Em All 2,Action,1h 28m,4.1,1.3K
Echo 8,Action,1h 36m,5.5,155
Agent Recon,Action,1h 25m,2.4,656
Dan Da Dan: First Encounter,Action,1h 23m,8.2,2.5K
Murder Company,Action,1h 26m,3.6,1.5K
Ferry 2,Action,1h 34m,5.6,3.7K
Operation Blood Hunt,Action,1h 33m,3.4,452
Freedom,Action,1h 50m,5.9,1.3K
Get Fast,Action,1h 28m,3.6,432
Hijack 1971,Action,1h 40m,6.8,3.2K
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Action,2h 54m,8.2,642
Anaconda,Action,1h 24m,4.9,599
Alien: Rubicon,Action,1h 26m,2.4,327
A Legend,Action,2h 9m,4.7,852
Alangu,Action,2h 11m,8.3,1.1K
Wynonna Earp: Vengeance,Action,1h 36m,5.6,1.5K
Jigra,Action,2h 33m,6,23K
Striking Rescue,Action,1h 46m,5.8,314
Diabel,Action,1h 48m,5.1,190
The Clean Up Crew,Action,1h 35m,4.1,1.1K
The Hangman,Action,1h 32m,3.3,983
Justice League: Crisis on Infinite Earths - Part Two,Action,1h 34m,5.5,5.2K
Invasion,Action,1h 31m,4.8,662
Savi,Action,2h 6m,6.2,35K
Spiders on a Plane,Action,1h 18m,5.9,358
Agni,Action,2h 2m,7.3,15K
Revolver,Action,1h 54m,5.4,814
Terminator: Skynet Rising,Action,1h 28m,6.8,257
Hanu Man,Action,2h 38m,7.7,29K
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,1h 44m,7.1,8.2K
Sixty Minutes,Action,1h 28m,5.7,5.1K
Escape,Action,1h 34m,6.4,1.9K
Murder at Hollow Creek,Action,N/A,4.2,77
The Last Kumite,Action,1h 45m,4.6,2.3K
London Calling,Action,1h 49m,6.5,8
Outlaw,Action,1h 22m,5.2,897
The Greatest of All Time,Action,3h 3m,5.8,22K
Overlord: The Sacred Kingdom,Action,2h 15m,7,693
72 Hours,Action,1h 27m,4.1,279
Cassino in Ischia,Action,1h 53m,4.4,229
Vettaiyan,Action,2h 43m,7,39K
Baby Invasion,Action,1h 20m,5.4,51
Heart of the Hunter,Action,1h 45m,4.7,2.1K
Alienoid: The Return to the Future,Action,2h 2m,6.5,2.5K
Handsome Guys,Action,1h 41m,6.5,735
Snow White and the Seven Samurai,Action,1h 28m,3.2,259
Operation Undead,Action,1h 50m,4.6,346
Wanted Man,Action,1h 25m,4.8,2.5K
Razakar: The Silent Genocide of Hyderabad,Action,2h 46m,7.4,5.2K
"Love, Courage and the Battle of Bushy Run",Action,1h 53m,5,168
Bagheera,Action,2h 38m,6.7,7.2K
Kingdom 4: Return of the Great General,Action,2h 25m,7.1,1.2K
The Lockdown,Action,1h 57m,4.3,593
War of the Worlds: Extinction,Action,1h 24m,3,170
Ryan's World the Movie: Titan Universe Adventure,Action,1h 20m,1.8,629
Viduthalai Part 2,Action,2h 50m,8,15K
GTMax,Action,1h 40m,5,1.2K
Yodha,Action,2h 10m,5.7,8.8K
The Last Front,Action,1h 38m,5.5,596
Mura,Action,2h 9m,7.3,6.2K
The Last Ronin,Action,2h 1m,4.9,217
Vanvaas,Action,2h 40m,6.7,994
Nice Girls,Action,1h 32m,4.2,1.2K
The Ballad of Davy Crockett,Action,1h 36m,4.6,242
12 Gaun,Action,2h 27m,6.3,862
Saripodhaa Sanivaaram,Action,2h 46m,7,8.8K
Chandu Champion,Action,2h 22m,7.8,34K
Don't Mess with Grandma,Action,1h 21m,6.1,141
Everybody Loves Jenifa,Action,2h 15m,8.4,77
Thangalaan,Action,2h 36m,6.6,6.5K
Kanguva,Action,2h 32m,4.6,14K
Je Jatt Vigarh Gya,Action,2h 12m,5.7,811
Guntur Kaaram,Action,2h 39m,5.4,25K
A.R.M,Action,2h 30m,7.1,8.5K
Vedaa,Action,2h 25m,6,4.2K
Devaki Nandana Vasudeva,Action,2h 8m,8.9,2.7K
Rogue Elements: A Ryan Drake Story,Action,44m,4.9,911
Memes & Nightmares,Action,1h 21m,5.7,71
12 to Midnight,Action,1h 36m,3.6,270
Mission: Cross,Action,1h 45m,6.1,2.5K
Roadkill,Action,1h 30m,3.6,671
The Firefighters,Action,1h 46m,5.9,139
Escape from the 21st Century,Action,1h 38m,6.5,797
UI,Action,2h 15m,6.9,5.6K
Bachhala Malli,Action,2h 20m,8.3,3.9K
Lady Scorpions,Action,1h 41m,3.6,360
How to Rob a Bank,Action,1h 28m,6.6,4.1K
Shark Warning,Action,1h 34m,3.4,245
Alien Country,Action,1h 36m,4.4,347
WWII: Operation Phoenix,Action,1h 46m,6.7,61
Khadaan,Action,2h 17m,7.4,1.9K
Bionic,Action,1h 50m,4.3,1.7K
The Bouncer,Action,1h 18m,4.3,80
Mother Mafia,Action,1h 20m,3.3,46
Martin,Action,2h 27m,2.3,36K
Kuang Bao Ju Xi,Action,1h 15m,6.2,66
Sector 17,Action,2h 26m,7.4,1.3K
Yolo,Action,2h 9m,6.9,3.6K
Bade Miyan Chote Miyan,Action,2h 43m,3.8,39K
Baby Assassins: Nice Days,Action,1h 43m,7.4,262
The Twisters,Action,1h 26m,2.5,314
Hattichhap,Action,N/A,8.8,747
Hunting with Tigers,Action,1h 49m,5.6,500
Devil's Knight,Action,1h 30m,5.3,758
Rob N Roll,Action,1h 38m,6.1,1.4K
Bureau 749,Action,2h 3m,4.1,495
Auron Mein Kahan Dum Tha,Action,2h 30m,6.6,40K
40 Acres,Action,1h 53m,6.3,96
Toofan,Action,2h 25m,7.1,6.1K
Black Creek,Action,1h 56m,N/A,N/A
Citizen of a Kind,Action,1h 54m,6.7,765
Pimpinero: Blood and Oil,Action,2h 1m,5.7,533
Ka Whawhai Tonu,Action,1h 55m,7.4,169
Eye for an Eye 2,Action,1h 30m,6.5,474
The Friendly,Action,1h 41m,8.1,15
S.T.A.L.K.E.R.: Shadow of the Zone,Action,1h 12m,5.2,446
Hellhound,Action,1h 43m,4.3,481
School of Magical Animals 3,Action,1h 45m,5.8,292
Paradise,Action,1h 23m,6.9,77
Mummy Shark,Action,1h 6m,2,165
Bonus Trip,Action,1h 53m,4.5,215
Agastya - Chapter 1,Action,2h 48m,6.9,576
Kahar: Kapla High Council,Action,1h 42m,6.9,437
The Day Everything Changed,Action,1h 37m,7.9,77
Deaner '89,Action,1h 30m,5.9,410
Zebra,Action,2h 44m,8,3.2K
Bangkok Breaking: Heaven and Hell,Action,2h 26m,5.8,651
The Actor,Action,2h 8m,3.3,720
The Last of Us: Immunity,Action,1h 4m,6.4,12
Indian 2,Action,N/A,3.9,16K
Son's Will,Action,N/A,7.4,831
Tillu Square,Action,2h 17m,6.6,3.4K
Crakk: Jeetega... Toh Jiyegaa,Action,2h 34m,4.7,6.4K
Captain Miller,Action,2h 37m,6.5,8.6K
The Charisma Killers,Action,1h 41m,6,506
Siren,Action,2h 34m,6.4,2.9K
Reapers,Action,N/A,8.7,572
Yudhra,Action,2h 22m,5,13K
Ayalaan,Action,2h 35m,6,3.9K
Orang Ikan,Action,1h 23m,6.5,31
Timuchin,Action,N/A,6.2,16
Mr. Bachchan,Action,2h 30m,3.6,5.2K
Sorgavaasal,Action,2h 18m,6.6,1.3K
Taklee Genesis x Worlds Collide,Action,2h 26m,5.5,381
Non Negotiable,Action,1h 27m,5.4,1.2K
Witch Hunter,Action,1h 20m,5.1,21
Barroz: Guardian of Treasures,Action,2h 35m,3.6,931
The Kingdom,Action,2h 13m,7.9,84
(Pri)sons,Action,1h 40m,5,246
Bangkok Dog,Action,1h 25m,6.4,94
Crisis Negotiators,Action,2h,6.7,689
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Action,55m,N/A,N/A
Sheriff,Action,2h 13m,6.9,1.1K
The Miranda Brothers,Action,1h 39m,4.4,185
Sasan,Action,2h 35m,8.5,61
I Heart Robots,Action,1h 16m,4.6,2.3K
Baki Hanma VS Kengan Ashura,Action,1h 2m,5.7,1.9K
Bidurbhai,Action,2h 28m,9.2,373
Troubleshooters,Action,1h 50m,6.4,397
Xiong Shi Shao Nian 2,Action,2h 14m,7.5,181
Fyre Rises,Action,1h 50m,6.5,321
Art of Eight Limbs,Action,1h 41m,4,301
Eagle,Action,2h 39m,5.9,4.9K
KA,Action,2h 31m,7.2,1.5K
No Time to Spy: A Loud House Movie,Action,1h 21m,6.4,431
Kamen Rider 555 20th: Paradise Regained,Action,1h 5m,5.9,138
Big Rage,Action,1h 55m,3.7,147
Guy Manley: Super Spy,Action,1h 32m,4.5,115
Thundu,Action,2h 5m,5,897
Garudan,Action,2h 13m,7.1,3.3K
Gandhi 3,Action,2h 23m,5.5,229
My Fathers' Daughter,Action,1h 18m,6.6,68
Mobile Suit Gundam SEED Freedom,Action,2h 4m,6.6,921
The Drunken Prodigy,Action,1h 47m,5.6,13
American Underdog,Action,1h 29m,8.8,23
Sayen: The Huntress,Action,1h 28m,4.4,249
Love You to Debt,Action,2h 15m,6.2,744
Clone Cops,Action,1h 36m,8.1,185
The Omicron Killer,Action,1h 38m,2.9,593
Kaveri,Action,1h 41m,9.1,1.5K
Double Ismart,Action,2h 36m,2.9,2.1K
Nothing Even Matters,Action,1h 30m,5.3,70
Anunnakiler,Action,1h 16m,2.6,424
Warrior Awang and Master Tok Gajah,Action,1h 58m,4.6,472
Pottel,Action,2h 28m,8.3,2.7K
Aserb: The Squadron,Action,2h,5.2,295
Ape X Mecha Ape: New World Order,Action,1h 27m,2.7,126
Drive,Action,1h 30m,5.6,309
Deadzone,Action,1h 20m,4.2,33
Mission: Chapter 1,Action,2h 24m,5.9,1.7K
They Call Her Death,Action,1h 32m,6.2,22
Dange,Action,2h 34m,5.4,785
Midas,Action,1h 25m,4.6,331
Bohurupi,Action,2h 35m,8.3,1.4K
Bhaiyya Ji,Action,2h 30m,4.8,7.3K
Fighting the Fire,Action,1h 55m,8.6,1.7K
Lisabi: The Uprising,Action,1h 47m,6.4,121
UmroAyyar - A New Beginning,Action,2h 15m,6.9,669
Rode College,Action,2h 48m,6.6,421
Codename: Devil,Action,1h 44m,N/A,N/A
Sucha Soorma,Action,2h 16m,6.5,905
The Unbreakable Bunch,Action,N/A,7.4,24
Black Heat,Action,1h 33m,7.8,19
Hunt the Wicked,Action,1h 42m,5.2,104
Ten Toes Down,Action,N/A,8,31
Road Wars: Max Fury,Action,1h 23m,2,349
Prepare to Die,Action,1h 33m,4.6,228
Nu Huo 12 Xiao Shi,Action,1h 26m,6.1,42
Rendel: Cycle of Revenge,Action,1h 39m,3.6,241
Kizumonogatari: Koyomi Vamp,Action,2h 24m,6.9,79
Anchakkallakokkan,Action,2h 6m,6.6,998
Ship of the Damned,Action,1h 28m,2.8,293
Conquer: Lahad Datu,Action,2h,6.7,493
24 Hours to D-Day,Action,1h 23m,5,29
Mirza: Part 1 - Joker,Action,2h 45m,6.8,236
Snatched,Action,1h 41m,4.9,204
Kondal,Action,2h 27m,5.4,761
6 Hours Away,Action,1h 33m,3.9,238
In Tenebras: Into the Darkness,Action,1h 30m,3.2,171
Cesium Fallout,Action,2h 16m,6.7,406
Where Is Gilgamesh?,Action,1h 30m,9,603
Kadakan,Action,2h 8m,4,110
Big City Greens the Movie: Spacecation,Action,N/A,6.2,528
The Epidemic,Action,1h 35m,5.8,68
Yuva,Action,2h 33m,5.8,833
How to Make a Werewolf,Action,N/A,5.6,82
Team of Two,Action,N/A,5.1,106
Rang De Basanti,Action,2h 54m,8.8,144
Ballistic,Action,1h 35m,2.3,161
Camp Blood: Clown Shark,Action,1h 10m,3.3,82
Turbo,Action,2h 35m,5.9,3.5K
The Mick and the Trick,Action,1h 36m,5,75
What Happens in Miami,Action,1h 30m,4.3,218
Buddy,Action,2h 17m,3.8,338
Operation Hope,Action,N/A,7,22
Matka,Action,2h 36m,4.7,571
High Forces,Action,1h 59m,5.8,493
Malayalee from India,Action,2h 40m,5.6,5K
The Bodyguard,Action,1h 27m,6.7,24
Mutant,Action,1h 30m,4.5,57
The Legend Hunters,Action,N/A,4.8,15
Formed Police Unit,Action,2h,4.6,471
Shark Island,Action,1h 21m,4,114
