Title,Genre,Duration,Rating,Voting
Horror in the High Desert 3: Firewatch,Mystery,1h 28m,5.4,691
Phir Aayi Hasseen Dillruba,Mystery,2h 12m,5.8,6.7K
The Private Eye,Mystery,1h 55m,3.8,122
In Our Blood,Mystery,1h 29m,6.8,44
Gazer,Mystery,1h 54m,6.4,96
Shigatsu ni nareba kanojo wa,Mystery,1h 48m,6.2,415
The Yin Yang Master Zero,Mystery,1h 52m,5.7,254
Solvent,Mystery,N/A,7.5,383
Bhoothaddam Bhaskar Narayana,Mystery,2h 21m,6.3,259
Chapel,Mystery,1h 32m,3.3,169
Borderless Fog,Mystery,1h 50m,5.2,1.3K
Its Name Was Mormo,Mystery,1h 33m,3.8,111
Algiers,Mystery,1h 33m,7.9,44
Brief History of a Family,Mystery,1h 39m,6.7,394
The Backrooms,Mystery,1h 3m,N/A,N/A
The Redemption of Sin,Mystery,1h 56m,7.1,56
10 Days of a Curious Man,Mystery,1h 50m,5.8,1.2K
Rautu Ka Raaz,Mystery,1h 54m,6.3,1.9K
Hunting Matthew Nichols,Mystery,1h 36m,9,44
Dancing Village: The Curse Begins,Mystery,2h 2m,5.7,4.1K
Paranoia,Mystery,1h 35m,4.1,350
Haze,Mystery,1h 16m,7,42
Abraham Ozler,Mystery,2h 23m,6.5,4.1K
Karma's a Bitch,Mystery,1h 29m,5,29
The Stalking,Mystery,1h 12m,4.8,29
Last Stop: Rocafort St.,Mystery,1h 29m,4.1,439
Sheriff,Mystery,2h 13m,6.9,1.1K
Portraits,Mystery,1h 22m,4.9,43
Glass Casa,Mystery,1h 46m,8,41
Doctor X: The Movie,Mystery,2h 8m,7.7,43
Dirty Boy,Mystery,1h 38m,8.2,17
9 Windows,Mystery,1h 22m,3.6,300
Karina,Mystery,1h 31m,6.9,16
Drive,Mystery,1h 30m,5.6,309
Murder and Cocktails,Mystery,1h 28m,4,355
Vina: Before 7 Days,Mystery,1h 40m,5.4,565
Simbaa,Mystery,2h 1m,5.9,2.2K
Campton Manor,Mystery,1h 23m,3.4,217
Transamazonia,Mystery,1h 52m,6.2,58
Daft State,Mystery,N/A,6.4,40
You Are Not Alone,Mystery,1h 45m,6.2,60
Ten Toes Down,Mystery,N/A,8,31
Killer Influence,Mystery,1h 24m,2.8,251
Kurukku,Mystery,1h 49m,6.6,529
Kizumonogatari: Koyomi Vamp,Mystery,2h 24m,6.9,79
Hunting Daze,Mystery,1h 19m,6.1,449
Zim Zim Ala Kazim,Mystery,1h 40m,3.5,106
The Shadow,Mystery,1h 30m,6.5,227
Pride,Mystery,2h 5m,8.9,10
Kondal,Mystery,2h 27m,5.4,761
Carnage for Christmas,Mystery,1h 9m,4.5,334
The Epidemic,Mystery,1h 35m,5.8,68
The Temp,Mystery,N/A,5.6,46
You Will Die in 6 Hours,Mystery,1h 31m,4.8,240
What Happens in Miami,Mystery,1h 30m,4.3,218
Tenant,Mystery,1h 39m,4.1,210
Detective Conan: The Million-Dollar Pentagram,Mystery,1h 51m,6.8,1.4K
Aftermath,Mystery,1h 18m,5.4,4.4K
Dark Feathers: Dance of the Geisha,Mystery,1h 33m,6.2,840
Shark Island,Mystery,1h 21m,4,114
Naam,Mystery,2h 16m,6.5,273
