Title,Genre,Duration,Rating,Voting
Dear Santa,Comedy,1h 47m,5.4,18K
Our Little Secret,Comedy,1h 41m,5.7,23K
Gone Running,Comedy,1h 45m,7.1,3.7K
Unspeakable: Beyond the Wall of Sleep,Comedy,1h 30m,6.3,35
Ma Este Gyilkolunk,Comedy,N/A,5.1,504
You Are the Apple of My Eye,Comedy,1h 41m,7.8,3.2K
Sookshma Darshini,Comedy,2h 22m,7.8,9.3K
The 4:30 Movie,Comedy,1h 27m,6,3.5K
Broken Rage,Comedy,1h 2m,6.1,1.2K
The Visitor,Comedy,1h 41m,4.2,182
Munjya,Comedy,2h 3m,6.3,25K
Vulgar,Comedy,1h 43m,6.8,99
Beautiful Wedding,Comedy,1h 40m,4.1,4K
Trouble,Comedy,1h 38m,6.2,6.6K
Jönssonligan kommer tillbaka,Comedy,1h 44m,6,828
Shell,Comedy,1h 40m,6.7,65
My Spy: The Eternal City,Comedy,1h 52m,5.7,11K
Moartea in vacanta,Comedy,1h 29m,6.7,1.3K
On Becoming a Guinea Fowl,Comedy,1h 39m,7.1,609
Jim's Story,Comedy,1h 41m,6.8,780
Am I Racist?,Comedy,1h 40m,6.7,16K
The Thundermans Return,Comedy,1h 10m,5,1.8K
Bob Trevino Likes It,Comedy,1h 42m,8.3,300
Standing on the Shoulders of Kitties,Comedy,1h 51m,6.3,481
Between the Temples,Comedy,1h 51m,6.3,2.8K
Casatoria,Comedy,1h 36m,6.4,2.3K
Adult Best Friends,Comedy,1h 30m,7.6,59
Reunion,Comedy,1h 30m,5.6,3.4K
Drugstore June,Comedy,1h 31m,5.3,1.6K
Simarik,Comedy,1h 51m,6.4,2.3K
The Uninvited,Comedy,1h 37m,5.9,134
A Little Something Extra,Comedy,1h 39m,7,4.7K
Srikakulam Sherlockholmes,Comedy,2h 5m,8.3,2.2K
Treasure,Comedy,1h 51m,6.3,2K
Sex-Positive,Comedy,1h 25m,4.1,653
That Christmas,Comedy,1h 31m,6.8,17K
I Don't Understand You,Comedy,1h 36m,7.1,69
Love in the Big City,Comedy,1h 58m,7.5,1.3K
Rats!,Comedy,1h 25m,8.2,74
Seize Them!,Comedy,1h 31m,5.1,1.2K
Hot Frosty,Comedy,1h 32m,5.3,14K
Skincare,Comedy,1h 36m,5.7,4.1K
This Time Next Year,Comedy,1h 56m,5.6,2.1K
